"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"511","Sophie né: yutatyáts aksóth̲a̲","Oneida (Canada)","[sound:Oneida-511.mp3]","Sophie is  my grandmother’s name",,,,,"Oneida_(Canada) Family"
"512","Sandy né: luwa:yáts laksóth̲a̲","Oneida (Canada)","[sound:Oneida-512.mp3]","Sandy is my grandfather's name",,,,,"Oneida_(Canada) Family"
"513","tho ya’sa:tí kana:tsyaku̲","Oneida (Canada)","[sound:Oneida-513.mp3]","you put it in the pot",,,,,"Oneida_(Canada) Food"
"514","tho ya’sa:tí ate’skutakhwá:slaku̲","Oneida (Canada)","[sound:Oneida-514.mp3]","you put it in the frying pan",,,,,"Oneida_(Canada) Food"
"515","swayʌ́tako:n̲a̲’","Oneida (Canada)","[sound:Oneida-515.mp3]","you 3 get more wood",,,,,"Oneida_(Canada) Hunting"
"516","o:yʌte̲","Oneida (Canada)","[sound:Oneida-516.mp3]","wood",,,,,"Oneida_(Canada) Hunting"
"517","salha:lé: kʌ","Oneida (Canada)","[sound:Oneida-517.mp3]","are you ready?",,,,,"Oneida_(Canada) Hunting"
"518","ʌse’nikú:lalak","Oneida (Canada)","[sound:Oneida-518.mp3]","you will keep watch!",,,,,"Oneida_(Canada) Hunting"
"519","ate’skutákhw̲a̲’","Oneida (Canada)","[sound:Oneida-519.mp3]","frying pan",,,,,"Oneida_(Canada) Food"
"520","yona'talastátu̲","Oneida (Canada)","[sound:Oneida-520.mp3]","crackers",,,,,"Oneida_(Canada) Food"
"521","koskos o’wá:l̲u̲’","Oneida (Canada)","[sound:Oneida-521.mp3]","bacon or ham (pig meat)",,,,,"Oneida_(Canada) Food"
"522","kanʌstóhale̲","Oneida (Canada)","[sound:Oneida-522.mp3]","cornbread",,,,,"Oneida_(Canada) Food"
"523","yonukwalahní:lʌ̲","Oneida (Canada)","[sound:Oneida-523.mp3]","cheese",,,,,"Oneida_(Canada) Food"
"524","teka’walahlihtu","Oneida (Canada)","[sound:Oneida-524.mp3]","(ground) chopped meat",,,,,"Oneida_(Canada) Food"
"525","ola:n̲á̲","Oneida (Canada)","[sound:Oneida-525.mp3]","cornsoup",,,,,"Oneida_(Canada) Food"
"526","tekantlahtayestu̲","Oneida (Canada)","[sound:Oneida-526.mp3]","salad",,,,,"Oneida_(Canada) Food"
"527","tehsa’nhuskwa’lho:lók","Oneida (Canada)","[sound:Oneida-527.mp3]","you put your pants on",,,,,"Oneida_(Canada) Clothes"
"528","sa’nhuskwá:lh̲a̲’","Oneida (Canada)","[sound:Oneida-528.mp3]","your pants",,,,,"Oneida_(Canada) Clothes"
"529","a’nhuskwá:lh̲a’","Oneida (Canada)","[sound:Oneida-529.mp3]","pants",,,,,"Oneida_(Canada) Clothes"
"530","wahíyu̲","Oneida (Canada)","[sound:Oneida-530.mp3]","I gave (or give) to him",,,,,"Oneida_(Canada) Hunting"
"531","wa'kheyu̲","Oneida (Canada)","[sound:Oneida-531.mp3]","I gave (or give) to her",,,,,"Oneida_(Canada) Hunting"
"532","salha:lé: kʌ","Oneida (Canada)","[sound:Oneida-532.mp3]","are you ready?",,,,,"Oneida_(Canada) Hunting"
"533","watyokwalunyá:tu o’wa:l̲u̲","Oneida (Canada)","[sound:Oneida-533.mp3]","smoked meat",,,,,"Oneida_(Canada) Hunting"
"534","salú:tat","Oneida (Canada)","[sound:Oneida-534.mp3]","you shoot",,,,,"Oneida_(Canada) Hunting"
"535","onʌ:ya̲","Oneida (Canada)","[sound:Oneida-535.mp3]","bullets",,,,,"Oneida_(Canada) Hunting"
"536","yutlistayʌta:khwa̲’","Oneida (Canada)","[sound:Oneida-536.mp3]","traps",,,,,"Oneida_(Canada) Hunting"
"537","kohslake:ne̲’","Oneida (Canada)","[sound:Oneida-537.mp3]","winter",,,,,"Oneida_(Canada) Time:_Seasons"
"538","kayu:kwíl̲e̲’","Oneida (Canada)","[sound:Oneida-538.mp3]","arrow",,,,,"Oneida_(Canada) Hunting"
"539","a’ʌ:ná̲","Oneida (Canada)","[sound:Oneida-539.mp3]","bow",,,,,"Oneida_(Canada) Hunting"
"540","káhul̲e̲’","Oneida (Canada)","[sound:Oneida-540.mp3]","gun",,,,,"Oneida_(Canada) Hunting"
"541","shekoli Barbara ní: yukyats","Oneida (Canada)","[sound:Oneida-541.mp3]","hello, my name is Barbara",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"542","náhte’ yesa:yáts","Oneida (Canada)","[sound:Oneida-542.mp3]","what is your name?",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"543","yah te’wakata’kalíte̲","Oneida (Canada)","[sound:Oneida-543.mp3]","I am not well",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"544","wakata’kalité: ki","Oneida (Canada)","[sound:Oneida-544.mp3]","I am well",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"545","sata’kalíte: kʌ","Oneida (Canada)","[sound:Oneida-545.mp3]","are you well?",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"546","shekoli ohniyotuháti","Oneida (Canada)","[sound:Oneida-546.mp3]","hello, how’s it going?",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"547","wakatshanu:ní tsi’ sakúk","Oneida (Canada)","[sound:Oneida-547.mp3]","I am happy to see you",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"548","sʌnʌsliyóste̲’","Oneida (Canada)","[sound:Oneida-548.mp3]","(you) have a good day",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"549","nʌki’wah","Oneida (Canada)","[sound:Oneida-549.mp3]","see you again (goodbye)",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"550","atyanlúhsla’","Oneida (Canada)","[sound:Oneida-550.mp3]","ghost",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"551","tho’nʌ:","Oneida (Canada)","[sound:Oneida-551.mp3]","next",,,,,"Oneida_(Canada) Time"
"552","yakukwehuwé̲","Oneida (Canada)","[sound:Oneida-552.mp3]","original person female",,,,,"Oneida_(Canada) Misc."
"553","lukwehuwé̲","Oneida (Canada)","[sound:Oneida-553.mp3]","original person male",,,,,"Oneida_(Canada) Misc."
"554","ukwehuwé̲","Oneida (Canada)","[sound:Oneida-554.mp3]","original person",,,,,"Oneida_(Canada) Misc."
"555","ʌtekheyú: náhte’ wakí","Oneida (Canada)","[sound:Oneida-555.mp3]","I will give it to them what I have",,,,,"Oneida_(Canada) Misc."
"556","katukwe’tiyóstha’ tyótkut","Oneida (Canada)","[sound:Oneida-556.mp3]","I always try to be a good person",,,,,"Oneida_(Canada) Misc."
"557","kheya’takénhas","Oneida (Canada)","[sound:Oneida-557.mp3]","I help them or her",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"558","Oskanhe’ yukniyo:té: nen teyakyatátisnye","Oneida (Canada)","[sound:Oneida-558.mp3]","together the two of us work we take care of each other",,,,,"Oneida_(Canada) Misc."
"559","Tyótkut tewaktíhʌ nen akwa:tsil̲é̲","Oneida (Canada)","[sound:Oneida-559.mp3]","always I care about my family",,,,,"Oneida_(Canada) Family"
"560","ni’ khenolúkhwa akwa:tsil̲é̲","Oneida (Canada)","[sound:Oneida-560.mp3]","I love my family",,,,,"Oneida_(Canada) Family"
"561","Shekolí tsi’ ni wakatshánu:ni̲","Oneida (Canada)","[sound:Oneida-561.mp3]","hello I am so happy",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"562","laksótha̲","Oneida (Canada)","[sound:Oneida-562.mp3]","my grandfather",,,,,"Oneida_(Canada) Family"
"563","aksótha̲","Oneida (Canada)","[sound:Oneida-563.mp3]","my grandmother",,,,,"Oneida_(Canada) Family"
"564","né: ka’í:kʌ aknulhá","Oneida (Canada)","[sound:Oneida-564.mp3]","this is my mother",,,,,"Oneida_(Canada) Family"
"565","né: ka’í:kʌ lake’niha̲","Oneida (Canada)","[sound:Oneida-565.mp3]","this is my father",,,,,"Oneida_(Canada) Family"
"566","úhka’ sanulhá","Oneida (Canada)","[sound:Oneida-566.mp3]","who is your mother?",,,,,"Oneida_(Canada) Family"
"567","úhka’ náhte’ ya’níha̲","Oneida (Canada)","[sound:Oneida-567.mp3]","who is your father?",,,,,"Oneida_(Canada) Family"
"568","úhka’ ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-568.mp3]","who is this?",,,,,"Oneida_(Canada) Family"
"569","né: ka’í:kʌ laowá:tsil̲e̲’","Oneida (Canada)","[sound:Oneida-569.mp3]","this is his family",,,,,"Oneida_(Canada) Family"
"570","né: ka’í:kʌ akohwá:tsil̲e̲’","Oneida (Canada)","[sound:Oneida-570.mp3]","this is her family",,,,,"Oneida_(Canada) Family"
"571","né: ka’í:kʌ sahwá:tsil̲e̲’","Oneida (Canada)","[sound:Oneida-571.mp3]","this is your family",,,,,"Oneida_(Canada) Family"
"572","né: ka’í:kʌ akhwá:tsil̲e̲’","Oneida (Canada)","[sound:Oneida-572.mp3]","this is my family",,,,,"Oneida_(Canada) Family"
"573","akohwá:tsile’ ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-573.mp3]","her family, this is",,,,,"Oneida_(Canada) Family"
"574","laotshe:nʌ̲́:","Oneida (Canada)","[sound:Oneida-574.mp3]","his pet",,,,,"Oneida_(Canada) Family:_Pets"
"575","akotshe:nʌ̲́:","Oneida (Canada)","[sound:Oneida-575.mp3]","her pet",,,,,"Oneida_(Canada) Family:_Pets"
"576","satshe:nʌ̲́:","Oneida (Canada)","[sound:Oneida-576.mp3]","your pet",,,,,"Oneida_(Canada) Family:_Pets"
"577","akitshe:nʌ̲́:","Oneida (Canada)","[sound:Oneida-577.mp3]","my pet",,,,,"Oneida_(Canada) Family:_Pets"
"578","laowá:tsile̲’","Oneida (Canada)","[sound:Oneida-578.mp3]","his family",,,,,"Oneida_(Canada) Family"
"579","akowá:tsile̲’","Oneida (Canada)","[sound:Oneida-579.mp3]","her family",,,,,"Oneida_(Canada) Family"
"580","sahwá:tsile̲’","Oneida (Canada)","[sound:Oneida-580.mp3]","your family",,,,,"Oneida_(Canada) Family"
"581","akhwá:tsile̲’","Oneida (Canada)","[sound:Oneida-581.mp3]","my family",,,,,"Oneida_(Canada) Family"
"582","Se’nikulalak tsi’ ní:yot tsi’ ʌhetsya’tahawe̲’","Oneida (Canada)","[sound:Oneida-582.mp3]","you be careful with the baby",,,,,"Oneida_(Canada) Family:_Babies"
"583","tekawiláke̲’","Oneida (Canada)","[sound:Oneida-583.mp3]","two babies",,,,,"Oneida_(Canada) Family:_Babies"
"584","kʌ’ nikawí:la né: ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-584.mp3]","this is a baby",,,,,"Oneida_(Canada) Family:_Babies"
"585","loslʌ́htalahse̲’","Oneida (Canada)","[sound:Oneida-585.mp3]","he is a sleepy baby",,,,,"Oneida_(Canada) Family:_Babies"
"586","nyoh wí: laksa’tiyo̲","Oneida (Canada)","[sound:Oneida-586.mp3]","he is a nice looking baby boy",,,,,"Oneida_(Canada) Family:_Babies"
"587","lonu’utste̲’","Oneida (Canada)","[sound:Oneida-587.mp3]","he has no hair",,,,,"Oneida_(Canada) Family:_Babies"
"588","na’tehakahlí:yose̲’","Oneida (Canada)","[sound:Oneida-588.mp3]","he has nice eyes",,,,,"Oneida_(Canada) Family:_Babies"
"589","lonuhkwíslehs","Oneida (Canada)","[sound:Oneida-589.mp3]","he has lots of hair",,,,,"Oneida_(Canada) Family:_Babies"
"590","lonuhwaktánihe̲’","Oneida (Canada)","[sound:Oneida-590.mp3]","he is sick",,,,,"Oneida_(Canada) Family:_Babies"
"591","lota’kalí:te̲","Oneida (Canada)","[sound:Oneida-591.mp3]","he is healthy",,,,,"Oneida_(Canada) Family:_Babies"
"592","lolehse̲","Oneida (Canada)","[sound:Oneida-592.mp3]","he is fat",,,,,"Oneida_(Canada) Family:_Babies"
"593","owilá:se̲:’","Oneida (Canada)","[sound:Oneida-593.mp3]","new baby",,,,,"Oneida_(Canada) Family:_Babies"
"594","kʌ’ nú:kwa hetshátleha̲’","Oneida (Canada)","[sound:Oneida-594.mp3]","here is your grandson",,,,,"Oneida_(Canada) Family:_Babies"
"595","Hʌ: wakí kiwah nʌ’ne: tekawistake’ ne: nikanol̲u̲","Oneida (Canada)","[sound:Oneida-595.mp3]","Yes I have some, it costs $2.00",,,,,"Oneida_(Canada) Money_and_Shopping"
"596","Ok’nén onʌ́ste’ yunyá:tu","Oneida (Canada)","[sound:Oneida-596.mp3]","what about corn chips?",,,,,"Oneida_(Canada) Money_and_Shopping"
"597","Hʌ: skawistat tsya:tak níwashʌ kwenis nikanol̲u̲","Oneida (Canada)","[sound:Oneida-597.mp3]","Yes, it costs $1.70",,,,,"Oneida_(Canada) Money_and_Shopping"
"598","Ok’nén teyonutatkitslale’shuha’ sáyʌ: kʌ nʌ’ne:","Oneida (Canada)","[sound:Oneida-598.mp3]","what about candy? do you have some?",,,,,"Oneida_(Canada) Money_and_Shopping"
"599","Hʌ: waknatala yʌ’ ki ahsʌ nikahwistake’ nikanol̲u̲’","Oneida (Canada)","[sound:Oneida-599.mp3]","Yes I have bread $3.00 is what it costs",,,,,"Oneida_(Canada) Money_and_Shopping"
"600","sáyʌ: kʌ kanatalok aukuhní:nu̲’","Oneida (Canada)","[sound:Oneida-600.mp3]","Have you got bread? I would buy it.",,,,,"Oneida_(Canada) Money_and_Shopping"
"601","teyonutatkitslale’shuh̲a̲","Oneida (Canada)","[sound:Oneida-601.mp3]","candies or any sweets",,,,,"Oneida_(Canada) Food"
"602","onʌste’ yunyá:tu","Oneida (Canada)","[sound:Oneida-602.mp3]","it is made from corn",,,,,"Oneida_(Canada) Plants:_Corn"
"603","téhsekhw̲e̲’","Oneida (Canada)","[sound:Oneida-603.mp3]","you pick it up",,,,,"Oneida_(Canada) Commands"
"604","aukoha:lʌ́ otsinehtál̲a̲","Oneida (Canada)","[sound:Oneida-604.mp3]","I would put the bead on",,,,,"Oneida_(Canada) Commands"
"605","aukoha:lʌ́’ katsi’kohal","Oneida (Canada)","[sound:Oneida-605.mp3]","I would put it on the safety pin",,,,,"Oneida_(Canada) Commands"
"606","ʌhsoha:lʌ̲́:","Oneida (Canada)","[sound:Oneida-606.mp3]","you will put it on",,,,,"Oneida_(Canada) Commands"
"607","testsikotalhu̲","Oneida (Canada)","[sound:Oneida-607.mp3]","you close it",,,,,"Oneida_(Canada) Commands"
"608","katsi’kohal","Oneida (Canada)","[sound:Oneida-608.mp3]","safety pin",,,,,"Oneida_(Canada) Misc."
"609","otsinehtál̲a̲’","Oneida (Canada)","[sound:Oneida-609.mp3]","bead",,,,,"Oneida_(Canada) Misc."
"610","í:hsle’ kʌ’ sheku usasnikil̲a̲’","Oneida (Canada)","[sound:Oneida-610.mp3]","do you want more to drink?",,,,,"Oneida_(Canada) Food"
"611","í:hsle’ kʌ’ ______","Oneida (Canada)","[sound:Oneida-611.mp3]","do you want __(bread)__?",,,,,"Oneida_(Canada) Misc."
"612","náhte’ né: thí:kʌ̲","Oneida (Canada)","[sound:Oneida-612.mp3]","what is that?(just pointing to something)",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"613","náhte’ né: ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-613.mp3]","what is this? (holding object)",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"614","sheku né: satsí:l̲u̲","Oneida (Canada)","[sound:Oneida-614.mp3]","you say it again(repeat it)",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"615","náhte’ ʌkilu’  _______?","Oneida (Canada)","[sound:Oneida-615.mp3]","how will I say _____?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"616","náhte’ asilu ______?","Oneida (Canada)","[sound:Oneida-616.mp3]","how would you say _(english word here)___?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"617","wáhta̲’","Oneida (Canada)","[sound:Oneida-617.mp3]","maple tree",,,,,"Oneida_(Canada) Plants:_Trees"
"618","kantlu'","Oneida (Canada)","[sound:Oneida-618.mp3]","white ash tree",,,,,"Oneida_(Canada) Plants:_Trees"
"619","ohnéta̲’","Oneida (Canada)","[sound:Oneida-619.mp3]","evergreen tree",,,,,"Oneida_(Canada) Plants:_Trees"
"620","onú:kala̲’","Oneida (Canada)","[sound:Oneida-620.mp3]","hickory tree",,,,,"Oneida_(Canada) Plants:_Trees"
"621","ohó:sela̲’","Oneida (Canada)","[sound:Oneida-621.mp3]","basswood tree",,,,,"Oneida_(Canada) Plants:_Trees"
"622","o’né:yal","Oneida (Canada)","[sound:Oneida-622.mp3]","beech tree",,,,,"Oneida_(Canada) Plants:_Trees"
"623","awʌhaníkwal","Oneida (Canada)","[sound:Oneida-623.mp3]","soft maple tree",,,,,"Oneida_(Canada) Plants:_Trees"
"624","kahuwé:ya̲:","Oneida (Canada)","[sound:Oneida-624.mp3]","black ash tree",,,,,"Oneida_(Canada) Plants:_Trees"
"625","ohnakʌhsa̲’","Oneida (Canada)","[sound:Oneida-625.mp3]","white birch tree",,,,,"Oneida_(Canada) Plants:_Trees"
"626","yotnakalatá:se̲","Oneida (Canada)","[sound:Oneida-626.mp3]","blue birch tree",,,,,"Oneida_(Canada) Plants:_Trees"
"627","Náhte’ na’kalutotʌ nén oshes khále’ onutakehli’ tsi’ nitkúnese̲’","Oneida (Canada)","[sound:Oneida-627.mp3]","What kind of tree does the syrup and sugar come from?",,,,,"Oneida_(Canada) Plants:_Trees"
"628","Tho kwi né: newé:ne tsi’ wahta̲’","Oneida (Canada)","[sound:Oneida-628.mp3]","it is obvious its the maple tree",,,,,"Oneida_(Canada) Plants:_Trees"
"629","Náhte’ káti’ né: na’kalutotʌ’ nén yuta’aslunyata̲’","Oneida (Canada)","[sound:Oneida-629.mp3]","What kind of tree do you make baskets with?",,,,,"Oneida_(Canada) Plants:_Trees"
"630","Yah káti’ kʌ kahuwé:ya̲:","Oneida (Canada)","[sound:Oneida-630.mp3]","Isn’t it the black ash?",,,,,"Oneida_(Canada) Plants:_Trees"
"631","Náhte’ káti’ né: na’kalutotʌ twalutota’ nʌ wʌhnislowá:n","Oneida (Canada)","[sound:Oneida-631.mp3]","What kind of tree do we put up at the big day or christmas?",,,,,"Oneida_(Canada) Plants:_Trees"
"632","Wé:ne kwi ohnéhta̲’","Oneida (Canada)","[sound:Oneida-632.mp3]","I guess it is the evergreen",,,,,"Oneida_(Canada) Plants:_Trees"
"633","Waksohkwalukóna ki’ tsi’ tkalutote’ nen onú:kala̲’","Oneida (Canada)","[sound:Oneida-633.mp3]","I am going to gather nuts at the hickory tree",,,,,"Oneida_(Canada) Plants:_Trees"
"634","Owisá:ke né: tehonatwiskwa’tuháti latiksa’shúh̲a̲","Oneida (Canada)","[sound:Oneida-634.mp3]","The children are sliding on the ice.",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"635","Wahsatlolóka’ kʌ owisá:ke tehutshikwa’eks","Oneida (Canada)","[sound:Oneida-635.mp3]","Are you going to watch the hockey game?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"636","Ni:yót né: tehutatenyʌtoya’aks latiksa’shúha̲","Oneida (Canada)","[sound:Oneida-636.mp3]","Look at the children throwing snow at each other.",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"637","Onutahalá:ke ki’ né: tehute’slehtahélh̲a̲’","Oneida (Canada)","[sound:Oneida-637.mp3]","They are sleigh riding on the hill",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"638","Tekyatakhétsta’ ki’ nén tekniksa","Oneida (Canada)","[sound:Oneida-638.mp3]","The two girls are skating",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"639","Tsi’ na’teyowihskwat owaháke̲","Oneida (Canada)","[sound:Oneida-639.mp3]","The road is slippery",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"640","Tsi’ na’teyohwísute’ atste̲","Oneida (Canada)","[sound:Oneida-640.mp3]","It is icy outside",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"641","yonu’uti","Oneida (Canada)","[sound:Oneida-641.mp3]","snow pellets",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"642","yowisúti","Oneida (Canada)","[sound:Oneida-642.mp3]","ice pellets",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"643","teyohwískwat","Oneida (Canada)","[sound:Oneida-643.mp3]","it is slippery",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"644","teyohwísute̲’","Oneida (Canada)","[sound:Oneida-644.mp3]","it is icy",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"645","tehute’slehtahélha̲’","Oneida (Canada)","[sound:Oneida-645.mp3]","sleigh riding",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"646","tehutatenyʌtóya’aks","Oneida (Canada)","[sound:Oneida-646.mp3]","they are throwing snow at each other",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"647","owisá:ke tehutshikwa’eks","Oneida (Canada)","[sound:Oneida-647.mp3]","hockey",,,,,"Oneida_(Canada) Sports"
"648","tehuta’kétsta̲’","Oneida (Canada)","[sound:Oneida-648.mp3]","skating",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"649","yotsistóhkwal̲e̲’","Oneida (Canada)","[sound:Oneida-649.mp3]","star",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"650","tʌtwatatawiní","Oneida (Canada)","[sound:Oneida-650.mp3]","(we all) exchange gifts (with each other)",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"651","shako:wíhe̲’","Oneida (Canada)","[sound:Oneida-651.mp3]","santa claus (he who gives)",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"652","skʌ:nʌ́: kʌhák tsi’ yohutsya:té̲","Oneida (Canada)","[sound:Oneida-652.mp3]","there is peace on earth",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"653","Wʌhnislowá:nʌ ka:lúte̲’","Oneida (Canada)","[sound:Oneida-653.mp3]","Christmas tree",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"654","Yotshanunyát tsi’ wʌhnislowá:nʌ̲","Oneida (Canada)","[sound:Oneida-654.mp3]","Merry Christmas",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"655","wʌhnislowá:nʌ ka’íkʌ wʌhnisla:té̲:","Oneida (Canada)","[sound:Oneida-655.mp3]","Christmas (this) day",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"656","wʌhnislowá:nʌ kahyatúhsel̲i̲","Oneida (Canada)","[sound:Oneida-656.mp3]","Christmas card",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"657","teyonutakli:tsale’ atʌ́:nis","Oneida (Canada)","[sound:Oneida-657.mp3]","candy cane",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"658","kayatuhsli tekanuwalotálh̲u̲","Oneida (Canada)","[sound:Oneida-658.mp3]","paper chain",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"659","kwayatalukwas kayatuhsli","Oneida (Canada)","[sound:Oneida-659.mp3]","cut the paper",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"660","kwayatalukwas kayatuhsli  Onʌyota’á:ka thokʌ́ yá:t","Oneida (Canada)","[sound:Oneida-660.mp3]","cutting the paper (that says Oneida)",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"661","yela’natakwa kayatuhsel̲i̲","Oneida (Canada)","[sound:Oneida-661.mp3]","tape the papers",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"662","tsyalehkwa’kʌ a:ukwistyo’kwa nʌstuke’ tsi’ náhe’ yoswá:u né: tsi’ nikawela’shatste̲’","Oneida (Canada)","[sound:Oneida-662.mp3]","I almost froze while the lights were off because it is so windy",,,,,"Oneida_(Canada) Weather"
"663","wa’ukwaswahse’ né: tsi’ nikawela’shátste̲’","Oneida (Canada)","[sound:Oneida-663.mp3]","our lights went out because it’s so windy",,,,,"Oneida_(Canada) Weather"
"664","tsi’ nikawela’shátste̲’","Oneida (Canada)","[sound:Oneida-664.mp3]","it's very windy",,,,,"Oneida_(Canada) Weather"
"665","yowelú:tu̲","Oneida (Canada)","[sound:Oneida-665.mp3]","windy",,,,,"Oneida_(Canada) Weather"
"666","yohsutatlʌt","Oneida (Canada)","[sound:Oneida-666.mp3]","scary night",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"667","lá:okwʌnya’","Oneida (Canada)","[sound:Oneida-667.mp3]","his costume",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"668","akokwʌnya’","Oneida (Canada)","[sound:Oneida-668.mp3]","her costume",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"669","akwakwʌnya’","Oneida (Canada)","[sound:Oneida-669.mp3]","my costume",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"670","akwatkuhsolokta’","Oneida (Canada)","[sound:Oneida-670.mp3]","my mask",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"671","awélu'uske̲'","Oneida (Canada)","[sound:Oneida-671.mp3]","witch",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"672","tsina’tsyakehte̲’","Oneida (Canada)","[sound:Oneida-672.mp3]","spider",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"673","otstókhwi̲’","Oneida (Canada)","[sound:Oneida-673.mp3]","blueberry",,,,,"Oneida_(Canada) Food"
"674","o’nʌhalkó:","Oneida (Canada)","[sound:Oneida-674.mp3]","grapes",,,,,"Oneida_(Canada) Food"
"675","alá:sek","Oneida (Canada)","[sound:Oneida-675.mp3]","elderberry",,,,,"Oneida_(Canada) Food"
"676","yonu’slaké:tote̲’","Oneida (Canada)","[sound:Oneida-676.mp3]","squash",,,,,"Oneida_(Canada) Food"
"677","onú:tsi̲","Oneida (Canada)","[sound:Oneida-677.mp3]","cabbage",,,,,"Oneida_(Canada) Food"
"678","onikwʌhtla’ nikahtehló:tʌ̲","Oneida (Canada)","[sound:Oneida-678.mp3]","beet",,,,,"Oneida_(Canada) Food"
"679","teyotsho’kwakwe’nú:ni̲","Oneida (Canada)","[sound:Oneida-679.mp3]","walnuts",,,,,"Oneida_(Canada) Food"
"680","otsinkhwala’ nikahtehló:tʌ̲","Oneida (Canada)","[sound:Oneida-680.mp3]","carrots",,,,,"Oneida_(Canada) Food"
"681","Ʌsatnʌstatate’ kʌ nén onʌhakʌ́:late̲","Oneida (Canada)","[sound:Oneida-681.mp3]","Are you going to dry the Indian corn?",,,,,"Oneida_(Canada) Food"
"682","Hʌ: tho’ nʌ ʌwá:tu né: ʌkatlanú:ni̲","Oneida (Canada)","[sound:Oneida-682.mp3]","Yes, then I can make cornsoup",,,,,"Oneida_(Canada) Food"
"683","Ʌwá:tu kʌ alá:sek wá:yat ʌsatna’talú:ni̲","Oneida (Canada)","[sound:Oneida-683.mp3]","Can you make elderberry pie?",,,,,"Oneida_(Canada) Food"
"684","Ʌsatsható: kʌ nén yonu’slaké:tote̲’","Oneida (Canada)","[sound:Oneida-684.mp3]","Are you going to bury the squash?",,,,,"Oneida_(Canada) Food"
"685","Tah oksa' ki' né: ʌkna’tishalʌ̲","Oneida (Canada)","[sound:Oneida-685.mp3]","No, I'm going to boil it right away.",,,,,"Oneida_(Canada) Food"
"686","shékoli","Oneida (Canada)","[sound:Oneida-686.mp3]","hello",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"687","tetwatunʌhelá:tu kakhwa’shuha̲","Oneida (Canada)","[sound:Oneida-687.mp3]","we give thanks for these foods",,,,,"Oneida_(Canada) Food"
"688","yehnikihlatha’ ó:wise̲’","Oneida (Canada)","[sound:Oneida-688.mp3]","drinking glass",,,,,"Oneida_(Canada) Food:_Tableware"
